Uuid,Void/Retire,Name,Concept Drug,Concept Dosage Form,Strength,_version:1
,,Bisacodyl 5 mg suppository,Bisacodyl,Suppository,5 mg,
,,Lactulose 10 g/15 ml,Lactulose,Oral solution,10 g/15 ml,
,,Oral rehydration salts,Oral rehydration salts,Powder,,
,,Zinc sulphate 20 mg,Zinc sulfate,Disintegrating tablet,20 mg,
,,Hydrocortisone 5 mg,Hydrocortisone,Tablet,5 mg,
,,Hydrocortisone 10 mg,Hydrocortisone,Tablet,10 mg,
,,Hydrocortisone 100 mg/ml,Hydrocortisone,Injection,100 mg/ml,
,,Methylprednisolone 8 mg,Methylprednisolone,Tablet,8 mg,
,,Methylprednisolone 16 mg,Methylprednisolone,Tablet,16 mg,
,,Methylprednisolone 32 mg,Methylprednisolone,Tablet,32 mg,
,,Methylprednisolone 40 mg/ml,Methylprednisolone,Injection,40 mg/ml,
,,Prednisolone 20 mg,Prednisolone,Tablet,20 mg,
,,Ethinylestradiol 0.03 mg + Levonorgestrel 0.15 mg,Ethinyl estradiol / levonorgestrel,Tablet,,
,,Ethinylestradiol 0.035 mg + Norethisterone 1 mg,Ethinyl estradiol / levonorgestrel,Tablet,,
,,Ethinyl estradiol 0.01 mg,Ethinyl estradiol,Tablet,0.01 mg,
,,Ethinyl estradiol 0.05 mg,Ethinyl estradiol,Tablet,0.05 mg,
,,Levonorgestrel 0.75 mg,Levonorgestrel,Tablet,0.75 mg,
,,Glimepiride 1 mg,Glimepiride,Tablet,1 mg,
,,Glimepiride 2 mg,Glimepiride,Tablet,2 mg,
,,"Insulin, regular 40 IU/ml","Insulin, regular",Injection,40 IU/ml,
,,"Insulin, isophane, human 40 IU/ml","Insulin, isophane, human",Injection,40 IU/ml,
,,Metformin 500 mg,Metformin,Tablet,500 mg,
,,Metformin 750 mg,Metformin,Tablet,750 mg,
,,Metformin 1000 mg,Metformin,Tablet,1000 mg,
,,Insulin 70/30 40 IU/ml,Insulin 70/30,Injection,40 IU/ml,
,,Glucose ( Hypoglycaemia),Glucose,Injection,25%,
,,Clomiphene 50 mg,Clomiphene,Tablet,50 mg,
,,Clomiphene 100 mg,Clomiphene,Tablet,100 mg,
,,Norethindrone 5 mg,Norethindrone,Tablet,5 mg,
,,Carbimazole 5 mg,Carbimazole,Tablet,5 mg,
,,Carbimazole 10 mg,Carbimazole,Tablet,10 mg,
,,Thyroxine 12.5 mcg,Thyroxine,Tablet,12.5 mcg,
,,Thyroxine 150 mcg,Thyroxine,Tablet,150 mcg,
,,Atracurium 10 mg/ml,Atracurium,Injection,10 mg/ml,
,,Neostigmine 15 mg,Neostigmine,Tablet,15 mg,
,,Lung surfactant suspension,Lung surfactant,Suspension,,
,,Lung surfactant,Lung surfactant,Suspension,,
,,Acyclovir 3%,Acyclovir,Ointment,3%,
,,Ciprofloxacin 0.30% drops,Ciprofloxacin,Drops,0.30%,
,,Ciprofloxacin 0.30% ointment,Ciprofloxacin,Ointment,0.30%,
,,Erythromycin 0.50%,Erythromycin,Ointment,0.50%,
,,Gentamicin 0.30%,Gentamicin,Drops,0.30%,
,,Povidone-iodine 0.60%,Povidone-iodine,Drops,0.60%,
,,Povidone-iodine 5%,Povidone-iodine,Drops,5%,
,,Prednisolone 0.10%,Prednisolone,Drops,0.10%,
,,Prednisolone 1%,Prednisolone,Drops,1%,
,,Proxymetacaine 0.50%,Proxymetacaine,Drops,0.50%,
,,Acetazolamide 250 mg,Acetazolamide,Tablet,250 mg,
,,Pilocarpine 2%,Pilocarpine,Drops,2%,
,,Pilocarpine 4%,Pilocarpine,Drops,4%,
,,Timolol 0.25%,Timolol,Drops,0.25%,
,,Timolol 0.50%,Timolol,Drops,0.50%,
,,Atropine 1% drops,Atropine,Drops,1%,
,,Atropine 1% ointment,Atropine,Ointment,1%,
,,Homatropine 2%,Homatropine,Drops,2%,
,,Phenylephrine 5%,Phenylephrine,Drops,5%,
,,Phenylephrine 10%,Phenylephrine,Drops,10%,
,,Tropicamide 1% drops,Tropicamide,Drops,1%,
,,Carboxymethylcellulose 0.50%,Carboxymethylcellulose,Drops,0.50%,
,,Carboxymethylcellulose 1%,Carboxymethylcellulose,Drops,1%,
,,Dinoprostone 0.5 mg tablet,Dinoprostone,Tablet,0.5 mg,
,,Dinoprostone 0.5 mg gel,Dinoprostone,Gel,0.5 mg,
,,Methylergonovine 0.125 mg,Methylergonovine,Tablet,0.125 mg,
,,Methylergonovine 0.2 mg/ml,Methylergonovine,Injection,0.2 mg/ml,
,,Mifepristone 200 mg,Mifepristone,Tablet,200 mg,
,,Misoprostol 100 mcg,Misoprostol,Tablet,100 mcg,
,,Misoprostol 200 mcg,Misoprostol,Tablet,200 mcg,
,,Oxytocin 5 IU/ml,Oxytocin,Injection,5 IU/ml,
,,Oxytocin 10 IU/ml,Oxytocin,Injection,10 IU/ml,
,,Betamethasone 4 mg/ml,Betamethasone,Injection,4 mg/ml,
,,Nifedipine 10 mg,Nifedipine,Tablet,10 mg,
,,Risperidone 2 mg,Risperidone,Tablet,2 mg,
,,Risperidone 4 mg,Risperidone,Tablet,4 mg,
,,Risperidone 1 mg,Risperidone,Tablet,1 mg,
,,Risperidone 1 mg/ml,Risperidone,Oral solution,1 mg/ml,
,,Amitriptyline 10 mg,Amitriptyline,Tablet,10 mg,
,,Amitriptyline 25 mg,Amitriptyline,Tablet,25 mg,
,,Amitriptyline 50 mg,Amitriptyline,Tablet,50 mg,
,,Amitriptyline 75 mg,Amitriptyline,Tablet,75 mg,
,,Escitalopram 5 mg,Escitalopram,Tablet,5 mg,
,,Escitalopram 10 mg,Escitalopram,Tablet,10 mg,
,,Escitalopram 20 mg,Escitalopram,Tablet,20 mg,
,,Fluoxetine 10 mg,Fluoxetine,Oral capsule,10 mg,
,,Lithium 300 mg,Lithium,Tablet,300 mg,
,,Sodium valproate 500 mg,Sodium valproate,Tablet,500 mg,
,,Clonazepam 0.25 mg,Clonazepam,Tablet,0.25 mg,
,,Clonazepam 0.5 mg,Clonazepam,Tablet,0.5 mg,
,,Clonazepam 1 mg,Clonazepam,Tablet,1 mg,
,,Clomipramine 10 mg,Clomipramine,Oral capsule,10 mg,
,,Clomipramine 25 mg,Clomipramine,Oral capsule,25 mg,
,,Clomipramine 75 mg,Clomipramine,Oral capsule,75 mg,
,,Fluoxetine 20 mg,Fluoxetine,Oral capsule,20 mg,
,,Fluoxetine 40 mg,Fluoxetine,Oral capsule,40 mg,
,,Fluoxetine 60 mg,Fluoxetine,Oral capsule,60 mg,
,,Budesonide 100 mcg/dose,Budesonide,Inhalation powder,100 mcg/dose,
,,Budesonide 200 mcg/dose,Budesonide,Inhalation powder,200 mcg/dose,
,,Budesonide 0.5 mg/ml,Budesonide,Solution,0.5 mg/ml,
,,Budesonide 1 mg/ml,Budesonide,Solution,1 mg/ml,
,,Budesonide 100 mcg + Formoterol 6 mcg,Budesonide / formoterol,Inhalation powder,,
,,Budesonide 200 mcg + Formoterol 6 mcg,Budesonide / formoterol,Inhalation powder,,
,,Budesonide 400 mcg + Formoterol 6 mcg,Budesonide / formoterol,Inhalation powder,,
,,Hydrocortisone 100 mg injection,Hydrocortisone,Injection,100 mg,
,,Hydrocortisone 200 mg,Hydrocortisone,Injection,200 mg,
,,Ipratropium 250 mcg/ml,Ipratropium,Solution,250 mcg/ml,
,,Ipratropium 20 mcg/dose,Ipratropium,Inhalation powder,20 mcg/dose,
,,Salbutamol 2 mg,Salbutamol,Tablet,2 mg,
,,Salbutamol 4 mg,Salbutamol,Tablet,4 mg,
,,Salbutamol 2 mg/5 ml,Salbutamol,Oral solution,2 mg/5 ml,
,,Salbutamol 100 mcg/dose,Salbutamol,Inhalation powder,100 mcg/dose,
,,Salbutamol 5mg/ml,Salbutamol,Solution,5mg/ml,
,,Tiotropium 9 mcg/dose,Tiotropium,Inhalation powder,9 mcg/dose,
,,Tiotropium 18 mcg/dose,Tiotropium,Inhalation powder,18 mcg/dose,
,,Glucose 5%,Glucose,Injection,5%,
,,Glucose 10%,Glucose,Injection,10%,
,,Glucose 25%,Glucose,Injection,25%,
,,Glucose 50%,Glucose,Injection,50%,
,,Glucose / sodium chloride,Glucose / sodium chloride,Injection,,
,,Potassium chloride 150 mg/ml,Potassium chloride,Injection,150 mg/ml,
,,Potassium chloride 500 mg/5 ml,Potassium chloride,Oral solution,500 mg/5 ml,
,,Ringer's lactate as per IP,Lactated ringer's solution,Injection,as per IP,
,,Sodium bicarbonate as per IP,Sodium bicarbonate,Injection,as per IP,
,,Sodium chloride 0.90%,Sodium chloride,Injection,0.90%,
,,Sodium chloride 0.45%,Sodium chloride,Injection,0.45%,
,,Sodium chloride 3%,Sodium chloride,Injection,3%,
,,Ascorbic acid 100 mg,Ascorbic acid,Tablet,100 mg,
,,Ascorbic acid 500 mg,Ascorbic acid,Tablet,500 mg,
,,Calcium carbonate 250 mg,Calcium carbonate,Tablet,250 mg,
,,Calcium carbonate 500 mg,Calcium carbonate,Tablet,500 mg,
,,Cholecalciferol 1000 IU,Cholecalciferol,Tablet,1000 IU,
,,Cholecalciferol 60000 IU,Cholecalciferol,Tablet,60000 IU,
,,Cholecalciferol 400 IU/ml,Cholecalciferol,Oral solution,400 IU/ml,
,,Niacinamide 50 mg,Niacinamide,Tablet,50 mg,
,,Pyridoxine 10 mg,Pyridoxine,Tablet,10 mg,
,,Pyridoxine 50 mg,Pyridoxine,Tablet,50 mg,
,,Pyridoxine 100 mg,Pyridoxine,Tablet,100 mg,
,,Riboflavin 5 mg,Riboflavin,Tablet,5 mg,
,,Thiamine 100 mg,Thiamine,Tablet,100 mg,
,,Thiamine 100 mg/ml,Thiamine,Injection,100 mg/ml,
,,Vitamin A 5000 IU,Vitamin A,Oral capsule,5000 IU,
,,Vitamin A 50000 IU,Vitamin A,Oral capsule,50000 IU,
,,Vitamin A 100000 IU,Vitamin A,Oral capsule,100000 IU,
,,Vitamin A 100000 IU/ml,Vitamin A,Oral solution,100000 IU/ml,
,,Anti-rabies vaccine,Anti-rabies vaccine,Injection,,
,,Aripiprazole 10 mg,Aripiprazole,Tablet,10 mg,
,,Aripiprazole 15 mg,Aripiprazole,Tablet,15 mg,
,,Aripiprazole 20 mg,Aripiprazole,Tablet,20 mg,
,,Clozapine 50 mg,Clozapine,Tablet,50 mg,
,,Clozapine 100 mg,Clozapine,Tablet,100 mg,
,,Clozapine 200 mg,Clozapine,Tablet,200 mg,
,,Fenofibrate 200 mg,Fenofibrate,Tablet,200 mg,
,,Sitagliptin 50 mg,Sitagliptin phosphate,Tablet,50 mg,
,,Calcium 500mg + Vitamin D3 250iu,Calcium / vitamin D,Tablet,,
,,Topiramate 50 mg,Topiramate,Tablet,50 mg,
,,Amisulpride 50 mg,Amisulpride,Tablet,50 mg,
,,Amisulpride 100 mg,Amisulpride,Tablet,100 mg,
,,Amisulpride 200 mg,Amisulpride,Tablet,200 mg,
,,Paroxetine 12.5 mg,Paroxetine,Tablet,12.5 mg,
,,Paroxetine 25 mg,Paroxetine,Tablet,25 mg,
,,Paroxetine 37.5 mg,Paroxetine,Tablet,37.5 mg,
,,Donepezil 5 mg,Donepezil,Tablet,5 mg,
,,Donepezil 10 mg,Donepezil,Tablet,10 mg,
,,Memantine 5 mg,Memantine,Tablet,5 mg,
,,Memantine 10 mg,Memantine,Tablet,10 mg,
,,Darifenacin 7.5 mg,Darifenacin,Tablet,7.5 mg,
,,Darifenacin 15 mg,Darifenacin,Tablet,15 mg,
,,5 Fluoro Uracile 100mg,5 Fluoro Uracil,Injection,100mg,,
,,Acécoumarol 1mg,Acécoumarol,Comprimé,1mg,,
,,Acécoumarol 4mg,Acécoumarol,Comprimé,4mg,,


,,5 Fluoro Uracile 100mg,5 Fluoro Uracil,Injection,100mg,,
,,Acécoumarol 1mg,Acécoumarol,Comprimé,1mg,,
,,Acécoumarol 4mg,Acécoumarol,Comprimé,4mg,,
,,Acétazolamide 250mg,Acetazolamide,Comprimé,250mg,,
,,Acétyleucine 500mg,Acetazolamide,Comprimé,500mg,,
,,Acétylsalicylate de lysine 1800mg (soit 1g d'AAS/5ml),Lysine Acetylsalicylate,Injection,1800mg,,
,,Acétylsalicylate de lysine 900mg (soit 500mg d'AAS/5ml),Lysine Acetylsalicylate,Injection,900mg,,
,,Aciclovir 3%,Acyclovir,Pommade,3%,,
,,Acide Acétyl Salicylique (AAS) 100mg,Acetyl Salicylic Acid (AAS),Comprimé,100mg,,
,,Acide Acétyl Salicylique (AAS) 300mg,Acetyl Salicylic Acid (AAS),Comprimé,300mg,,
,,Acide Acétyl Salicylique (AAS) 500mg,Acetyl Salicylic Acid (AAS),Comprimé,500mg,,
,,Acide Ascorbique (Vitamine C) 1g/5ml,Ascorbic Acid (Vitamin C),Injection,1g/5ml,,
,,Acide folinique 15mg,Folinic Acid,Comprimé,15mg,,
,,Acide folinique 5mg,Folinic Acid,Capsule,5mg,,
,,Acide Folique 1mg,Folic Acid,Comprimé,1mg,,
,,Acide Folique 5mg,Folic Acid,Comprimé,5mg,,
,,Acide Ibandronique 6mg,Ibandronic Acid,Injection,6mg,,
,,Acide Pamidronique 90mg,Pamidronic Acid,Injection,90mg,,
,,Acide para amino salicyliques 500mg,Salicylic Para Amino Acid,Comprimé,500mg,,
,,Acide tranexamique 500mg/5ml,Tranexamic Acid,Injection,500mg/5ml,,
,,Acide Valproïque 200mg forme retard,Valproic Acid,Comprimé,200mg,,
,,Acide Valproïque 200mg/5ml,Valproic Acid,Oral solution,200mg/5ml,,
,,Acide Valproïque 500mg,Valproic Acid,Injection,500mg,,
,,Acide Valproïque 500mg forme retard,Valproic Acid,Comprimé,500mg,,
,,Acide Zolédronique 4mg,Zoledronic Acid,Injection,4mg,,
,,Albendazole 100mg/5ml,Albendazole,Suspension,100mg/5ml,,
,,Albendazole 400mg,Albendazole,Comprimé,400mg,,
,,Albendazole 400mg -,Albendazole,Oral solution,400mg,,
,,Albumine humaine 20%/100ml,Human Albumin,Injection,20%/100ml,,
,,Albumine humaine 20%/50ml,Human Albumin,Injection,20%/50ml,,
,,Alcool éthylique 95% de 25 litres,Ethyl Alcohol,Bidon,95%,,
,,Alcool éthylique à 70 % 100ml,Ethyl Alcohol,Bidon,70%,,
,,Alcool éthylique à 70 % 125ml,Ethyl Alcohol,Bidon,70%,,
,,Alcool éthylique à 70 % 1L,Ethyl Alcohol,Bidon,70%,,
,,Alcool éthylique à 70 % 500ml,Ethyl Alcohol,Bidon,70%,,
,,Alcool éthylique à 95 % 100ml,Ethyl Alcohol,Bidon,95%,,
,,Alcool éthylique à 95 % 125ml,Ethyl Alcohol,Bidon,95%,,
,,Alcool éthylique à 95 % 1L,Ethyl Alcohol,Bidon,95%,,
,,Alcool éthylique à 95 % 500ml,Ethyl Alcohol,Bidon,95%,,
,,Alcool éthylique à 95% 20L,Ethyl Alcohol,Bidon,95%,,
,,Alcool éthylique fut 230L,Ethyl Alcohol,Bidon,,,
,,Alcool éthylique fut 250L,Ethyl Alcohol,Bidon,,,
,,Alizapride,Alizapride,Injection,,,
,,Allopurinol 100mg,Allopurinol,Comprimé,100mg,,
,,Aluminium Hydroxyde 500mg,Aluminum Hydroxide,Comprimé,500mg,,
,,Amidotrizoate de sodium,Sodium Amidotrizoate,Injection,,,
,,Amikacine 500mg,Amikacin,Injection,500mg,,
,,Aminophylline 100mg,Aminophylline,Comprimé,100mg,,
,,"Aminophylline 25mg/ml, 250mg /10ml",Aminophylline,Ampoule,25mg/ml,,
,,Amiodarone 100mg,Amiodarone,Comprimé,100mg,,
,,Amiodarone 200mg,Amiodarone,Comprimé,200mg,,
,,Amiodarone 50mg/ml,Amiodarone,Injection,50mg/ml,,
,,Amlodipine 10mg,Amlodipine,Comprimé,10mg,,
,,Amlodipine 5mg,Amlodipine,Comprimé,5mg,,
,,Amoxycilline 250mg poudre pour 100ml,Amoxycillin,Oral solution,250mg,,
,,Amoxycilline 250mg poudre pour 60ml,Amoxycillin,Oral solution,250mg,,
,,Amoxycilline 250mg/5ml,Amoxycillin,Oral solution,250mg,,
,,"Amoxycilline 250mg/5ml poudre pour, 60ml",Amoxycillin,Oral solution,250mg/5ml,,
,,"Amoxycilline 500mg, sous blister",Amoxycillin,Comprimé,500mg,,
,,"Amoxycilline 500mg, sous blister -",Amoxycillin,Capsule,500mg,,
,,Amoxycilline+Acide Clavulanique 1000mg+125mg,Amoxycillin + Clavulanic Acid,Comprimé,1000mg+125mg,,
,,"Amoxycilline+Acide Clavulanique 250mg+31,25mg susp buvable",Amoxycillin + Clavulanic Acid,Suspension,"250mg+31,25mg",,
,,Amoxycilline+Acide Clavulanique 500mg+125mg,Amoxycillin + Clavulanic Acid,Comprimé,500mg+125mg,,
,,Amoxycilline+Acide Clavulanique 500mg+50mg/FL,Amoxycillin + Clavulanic Acid,Injection,500mg+50mg/FL,,
,,"Amoxycilline+Acide Clavulanique 500mg+62,5mg",Amoxycillin + Clavulanic Acid,Comprimé,"500mg+62,5mg",,
,,Amphotéricine B 250mg,Amphotericin B,Capsule,250mg,,
,,Amphotéricine B 500mg,Amphotericin B,Gel,500mg,,
,,Amphotéricine B Lysomal 50mg/,Amphotericin B,Ampoule,,,
,,"Ampiciline 1000mg/3,2ml",Ampicillin,Injection,"1000mg/3,2ml",,
,,"Ampiciline 500mg/3,2ml",Ampicillin,Injection,"500mg/3,2ml",,
,,Ampicilline PPI 1g,Ampicillin,Vial,1g,,
,,Amytriptilyne 25mg,Amytriptilyne,Comprimé,25mg,,
,,Amytriptilyne 50mg/2ml,Amytriptilyne,Injection,50mg/2ml,,
,,"Antiamaril (Fièvre jaune) VAA 1 dose/0,5ml",Antiammon (Yellow Fever) VAA,Injection,,,
,,Antibactérien Fl/250ml,Antibacterial Gel,Gel,,,
,,Antibactérien Fl/500ml,Antibacterial Gel,Gel,,,
,,Antidiphtérique/Antitétanique/ Anticoquelucheux/AntihépatiteB/Antihémophilus Influenzae de Tpye B (DTC-Hep B+Hib),Antidiphtheria / Anti-Tetanus Anti-Pertussis / Anti-Hepatitis B / Antihemophilus Influenzae Of Tpye B (Dtp - Hep B + Hib),Injection,,,
,,Antihémorroïdaire 30g,Antihémorroidaire,Crème,30g,,
,,Antihémorroïdaire,Antihémorroidaire,Suppositoire,,,
,,"Antihépatite B (Hép B) 10µgs/0,5ml",Anti-Hepatitis B (Hep B),Injection,"10µgs/0,5ml",,
,,Antihépatite B (Hép B) 20µgs/1ml,Anti-Hepatitis B (Hep B),Injection,20µgs/1ml,,
,,"Antiméningococcique A, C, W Y I 35 50µg/0,5ml","Antimeningococcal A, C, WYI 35",Injection,"50µg/0,5ml",,
,,"Antimoniate de Méglumine 1,5g/ml",Meglumine Antimoniate,Injection,"1,5g/ml",,
,,"Antimoniate de Méglumine 8,1%/5ml",Meglumine Antimoniate,Injection,"8,1%/5ml",,
,,"Antipoliomyélite (VPO) 1 dose/0,5ml",Antipoliomyelitis (OPV),Injection,"1 dose/0,5ml",,
,,Antirabique 150UI/ml,Antirabies,Injection,150UI/ml,,
,,Antirougeoleux (VAR),Measles (Var),Injection,,,
,,"Antitétanique ≥ 40UI/0,5ml",Antitetanus drug,Injection,"40UI/0,5ml",,
,,"Antitoxine Tétanique, humaine 1500 UI/ml, 1ml","Tetanus Antitoxin, Human",Vial,1500 UI/ml,,
,,Antituberculeux (BCG) 10 doses/ml pour adulte et enfants à partir de 12 mois,Antituberculosis (BCG),Injection,10 doses/ml,,
,,Antituberculeux (BCG) 20 doses pour enfants de moins de 12 mois,Antituberculosis (BCG),Injection,,,
,,Antivenimeux,Antivenom,Injection,,,
,,Apomorphine 10mg/ml,Apomorphine,Injection,10mg/ml,,
,,Aqueuse Fl/250g,Aqueous Cream,Crème,Fl/250g,,
,,Artemether 200mg,Artemether,Suppositoire,200mg,,
,,Artemether 20mg/ml,Artemether,Ampoule,20mg,,
,,Artemether 40mg/ml,Artemether,Ampoule,40mg,,
,,Artemether 50mg,Artemether,Suppositoire,50mg,,
,,Artemether 80mg injectable,Artemether,Ampoule,80mg,,
,,Artemether+Luméfantrine 180/1080mg 60ml,Artemether + Lumefantrine,Oral solution,180/1080mg,,
,,Artemether+Luméfantrine 20/120mg (6x2),Artemether + Lumefantrine,Comprimé,20/120mg,,
,,Artemether+Luméfantrine 20/120mg (6x3),Artemether + Lumefantrine,Comprimé,20/120mg,,
,,Artemether+Luméfantrine 20/120mg (6x4),Artemether + Lumefantrine,Comprimé,20/120mg,,
,,Artemether+Luméfantrine 80/480mg CP,Artemether + Lumefantrine,Comprimé,80/480mg,,
,,Artésunate 60mg,Artesunate,Injection,60mg,,
,,"Artésunate+Amodiaquine 100/270mg, 3",Artesunate + Amodiaquine,Comprimé,100/270mg,,
,,"Artésunate+Amodiaquine 100/270mg, 6",Artesunate + Amodiaquine,Comprimé,100/270mg,,
,,"Artésunate+Amodiaquine 25mg+62,5mg",Artesunate + Amodiaquine,Comprimé,"25mg+62,5mg",,
,,Artésunate+Amodiaquine 50mg+135mg,Artesunate + Amodiaquine,Comprimé,50mg+135mg,,
,,Atenolol 100mg,Atenolol,Comprimé,100mg,,
,,Atenolol 50mg,Atenolol,Comprimé,50mg,,
,,"Atropine 0,1%",Atropine,Collyre,"0,10%",,
,,"Atropine 0,25mg/1ml",Atropine,Comprimé,"0,25mg/1ml",,
,,"Atropine 0,25mg/ml",Atropine,Injection,"0,25mg/ml",,
,,"Atropine 0,3%",Atropine,Collyre,"0,30%",,
,,"Atropine 0,5%",Atropine,Collyre,"0,50%",,
,,Atropine 1%,Atropine,Collyre,1%,,
,,Atropine 1mg/1ml,Atropine,Comprimé,1mg/1ml,,
,,Atropine 1mg/ml,Atropine,Injection,1mg/ml,,
,,Atropine Sulfate 1mg/ml 1ml,Atropine Sulfate,Ampoule,1mg/ml,,
,,Bacitracine alpha amylase 400mg,Bacitracin Alpha Amylase,Comprimé,400mg,,
,,"Benzathine Benzyl Pénicilline 1,2 MUI",Benzathine Benzyl Penicillin,Injection,"1,2 MUI",,
,,"Benzathine Benzyl Pénicilline 2,4 MUI",Benzathine Benzyl Penicillin,Injection,"2,4 MUI",,
,,Benzathine Benzyl Pénicilline 600mg,Benzathine Benzyl Penicillin,Injection,600mg,,
,,"Benzathine Benzylpénicilline 1,4 MUI",Benzathine Benzyl Penicillin,Injection,"1,4 MUI",,
,,Benzathine Benzylpénicilline 600UI,Benzathine Benzyl Penicillin,Injection,600UI,,
,,Benzoate de Benzyl 25%,Benzyl Benzoate,Crème,25%,,
,,"Benzyle Benzoate 25%, diluée, 125ml FL",Benzyl Benzoate Solution,Injection,25%,,
,,Benzylpénicilline Sodique PPI 1 Méga UI,Benzylpenicillin Sodium PPI,Vial,,,
,,Benzylpénicilline Sodique PPI 5 Méga UI,Benzylpenicillin Sodium PPI,Vial,,,
,,"Bétaméthazone dermique 0.1% 15 g,",Betamethasone,Crème,"0,10%",,
,,"Béthaméthasone 0,1%",Betamethasone,Pommade,"0,10%",,
,,"Béthaméthazone 0.1% 15 g,",Béthaméthazone,Crème,"0,10%",,
,,"Bicarbonate de sodium 1,4%",Sodium Bicarbonate,Injection,"1,40%",,
,,Bicarbonate de sodium 14%/500ml,Sodium Bicarbonate,Solution,14%/500ml,,
,,Bicarbonate de sodium 42%/250ml,Sodium Bicarbonate,Solution,42%/250ml,,
,,Bipéridène 2mg,Biperiden,Comprimé,2mg,,
,,Bipéridène 5mg/ml,Biperiden,Injection,5mg/ml,,
,,"Bisacodyl 5mg,",Bisacodyl,Comprimé,5mg/ml,,
,,Bléomycine 15mg/10ml,Bleomycin,Injection,15mg/10ml,,
,,Bleu de méthylène 10%,Methylene Blue,Solution,10%,,
,,Bleu patenté N° 5 50mg/2ml,Patent Blue N ° 5,Injection,50mg/2ml,,
,,"Bupivacaïne 0,25%",Bupivacaine,Injection,"0,25%",,
,,"Bupivacaïne 0,5%",Bupivacaine,Injection,"0,50%",,
,,Bupivacaïne 500mg/20ml,Bupivacaine,Injection,500mg/20ml,,
,,Bupivacaïne Chlorhydr. (Marcaine) isotonique 0.5% 100mg/20ml,"Bupivacaine Chlorhydr. (Marcaine), Isotonic",Vial,100mg/20ml,,
,,"Bupivacaïne hyperbare 0,5%/4ml",Hyperbaric Bupivacaine,Injection,"0,5%/4ml",,
,,"Bupivacaïne+Epinéphrine 0,25%",Bupivacaine + Epinephrine,Injection,"0,25%",,
,,"Bupivacaïne+Epinéphrine 1%, Fl/20ml",Bupivacaine + Epinephrine,Injection,"1%, Fl/20ml",,
,,"Bupivacaïne+Epinéphrine 2%, Fl/20ml",Bupivacaine + Epinephrine,Injection,"2%, Fl/20ml",,
,,"Buprenorphine 0,2mg sublingual",Buprenorphine,Comprimé,"0,2mg",,
,,"Buprenorphine 0,3mg/ml",Buprenorphine,Injection,"0,3mg/ml",,
,,Calamine,Calamine,Crème,,,
,,Calcium Folinique 15mg,Folinic Calcium,Comprimé,15mg,,
,,Calcium Gluconate 10% 1g/10ml,Calcium Gluconate,Ampoule,10% 1g/10ml,,
,,Capecitabine 150mg,Capecitabine,Comprimé,150mg,,
,,Capecitabine 500mg,Capecitabine,Comprimé,500mg,,
,,Capréomycine 1g,Capreomycin,Injection,1g,,
,,Captopril 25mg,Captopril,Comprimé,25mg,,
,,Captopril+Hydrochlorathiazide 50mg+25mg,Captopril + Hydrochlorathiazide,Comprimé,50mg+25mg,,
,,Carbamazepine 100mg/5ml,Carbamazepine,Oral solution,100mg/5ml,,
,,Carbamazépine 200mg,Carbamazepine,Comprimé,200mg,,
,,Carbamazepine 400mg LP,Carbamazepine,Comprimé,400mg,,
,,Carbazochrome 50mg,Carbazochrome,Injection,50mg,,
,,Carbimazole 20mg,Carbimazole,Comprimé,20mg,,
,,Carbimazole 5mg,Carbimazole,Comprimé,5mg,,
,,Carbocystéïne 2%,Carbocysteine,Oral solution,2%,,
,,Carbocystéïne 2g/100ml FL/125ml,Carbocysteine,Injection,2g/100ml,,
,,Carbocystéïne 5%,Carbocysteine,Oral solution,5%,,
,,Carbonate Calcium 300mg,Carbonate Calcium,Comprimé,300mg,,
,,Carbonate Calcium 500mg,Carbonate Calcium,Comprimé,500mg,,
,,"Carvedilol 12,5mg",Carvedilol,Comprimé,"12,5mg",,
,,Carvedilol 25mg,Carvedilol,Comprimé,25mg,,
,,"Carvedilol 6,25mg",Carvedilol,Comprimé,"6,25mg",,
,,Cefotaxime 1000mg,Cefotaxime,Injection,1000mg,,
,,Cefotaxime 500mg,Cefotaxime,Injection,500mg,,
,,"Ceftriaxone 1000mg/3,5ml",Ceftriaxone,Injection,"1000mg/3,5ml",,
,,"Ceftriaxone 250mg/ml, 500mg/2ml",Ceftriaxone,Injection,250mg/ml,,
,,"Ceftriaxone Disodique, 1g",Ceftriaxone,Ampoule,1g,,
,,Cefuroxime 125mg/5ml,Cefuroxime,Oral solution,125mg/5ml,,
,,Cefuroxime 250mg,Cefuroxime,Comprimé,250mg,,
,,Charbon activé 125mg capsule,Activated Carbon,Comprimé,125mg,,
,,Charbon activé 50g,Activated Carbon,Poudre,50g,,
,,Chlorambucil 2mg,Chlorambucil,Comprimé,2mg,,
,,"Chloramphénicol 250mg, sous blsiter",Chloramphenicol,Capsule,250mg,,
,,"Chloramphénicol Huileux, 500mg, 2ml",Chloramphenicol,Ampoule,500mg,,
,,Chloramphénicol Succinate Sodique PPI 1g,Chloramphenicol,Vial,1g,,
,,Chlorhexidine digluconate 20%,Chlorhexidine Digluconate,Solution,20%,,
,,Chlorhexidine digluconate 5%,Chlorhexidine Digluconate,Solution,5%,,
,,Chlorphéniramine 10mg/ml,Chlorpheniramine,Injection,10mg/ml,,
,,"Chlorpheniramine Maléate 4mg, sous blister",Chlorpheniramine Maleate,Comprimé,4mg,,
